Name	Longitude	Latitude	Population (2020)
Alameda	-122.241635	37.7652076	78280
Antioch	-121.8106925	38.0093296	115291
Berkeley	-122.272863	37.8708393	124321
Brentwood	-121.696026	37.9317766	64292
Concord	-122.0335624	37.9768525	125410
Cupertino	-122.0322895	37.3228934	60381
Daly City	-122.47267	37.6904826	104901
Dublin	-121.9357918	37.7021521	72589
Fairfield	-122.039966	38.2493581	119881
Fremont	-121.988571	37.5482697	230504
Gilroy	-121.5631723	37.0065078	59520
Hayward	-122.080796	37.6688205	162954
Livermore	-121.768053	37.6820583	87955
Milpitas	-121.8989248	37.4332273	80273
Mountain View	-122.0832101	37.3893889	82376
Napa	-122.2855293	38.2971367	79246
Novato	-122.5681191	38.1061979	53225
Oakland	-122.271356	37.8044557	440646
Palo Alto	-122.1598465	37.4443293	68572
Petaluma	-122.636465	38.2325829	59776
Pittsburg	-121.8901232	38.0181745	76416
Pleasanton	-121.8746789	37.6624312	79871
Redwood City	-122.232523	37.4863239	84292
Richmond	-122.347748	37.9357576	116448
San Francisco	-122.4075201	37.7879363	873965
San Jose	-121.890591	37.3361663	1013240
San Leandro	-122.1560768	37.7249296	91008
San Mateo	-122.3253265	37.5629997	105661
San Rafael	-122.5316686	37.9747795	61271
San Ramon	-121.9544387	37.7648021	84605
Santa Clara	-121.955174	37.3541132	127647
Santa Rosa	-122.7141049	38.4404925	178127
South San Francisco	-122.4168664	37.6535403	66105
Sunnyvale	-122.036349	37.3688301	155805
Union City	-122.0215737	37.5872576	70143
Vacaville	-121.9877444	38.3565773	102386
Vallejo	-122.2566367	38.1040864	126090
Walnut Creek	-122.0618702	37.9020731	70127
