id,value
Nile,
Nile.Atbarah,
Nile.Atbarah.Tekeze,1
Nile.Atbarah.Angereb,1
Nile.Atbarah.Shinfa,1
Nile.Blue,
Nile.Blue.Bashilo,1
Nile.Blue.Walaga,1
Nile.Blue.Jamma,1
Nile.Blue.Muger,1
Nile.Blue.Guder,1
Nile.Blue.Gulla,1
Nile.Blue.Didessa,1
Nile.Blue.Dabus,1
Nile.Blue.Boles,1
Nile.Blue.Dinder,1
Nile.Blue.Rahad,1
Nile.White,
Nile.White.Albert,1
Nile.White.Adar
Nile.White.Adar.Yabus,1
Nile.White.Adar.Daga,1
Nile.White.Naam,
Nile.White.Naam.Jur,1
Nile.White.Naam.Kiir,1
Nile.White.Naam.Lol,1
Nile.White.Naam.Tonj,1
Nile.White.Achwa,
Nile.White.Achwa.Awero,1
Nile.White.Achwa.Agago,1
Nile.White.Achwa.Pager,1
Nile.White.Achwa.Nyimur,1
Nile.White.Sobat,
Nile.White.Sobat.Baro,1
Nile.White.Sobat.Pibor,1
