nanometers	blue	green	red
400	0.136	0.058	0.051
410	0.175	0.059	0.05
420	0.208	0.059	0.049
430	0.244	0.062	0.049
440	0.29	0.065	0.049
450	0.335	0.07	0.049
460	0.338	0.078	0.048
470	0.302	0.091	0.047
480	0.239	0.113	0.045
490	0.172	0.14	0.044
500	0.12	0.18	0.044
510	0.086	0.244	0.044
520	0.066	0.324	0.044
530	0.054	0.363	0.044
540	0.048	0.355	0.045
550	0.045	0.323	0.047
560	0.043	0.281	0.05
570	0.041	0.238	0.057
580	0.04	0.196	0.072
590	0.04	0.158	0.109
600	0.039	0.124	0.192
610	0.04	0.101	0.332
620	0.04	0.089	0.486
630	0.041	0.084	0.598
640	0.042	0.08	0.654
650	0.042	0.077	0.686
660	0.043	0.075	0.7
670	0.044	0.075	0.707
680	0.044	0.078	0.718
690	0.045	0.082	0.724
700	0.048	0.088	0.729
